"Timestamp","On a scale of 1 to 5, how actively do you participate in university social events and activities? (1 being not at all, 5 being very active)","How would you rate your overall sense of well-being and happiness at the university on a scale of 1 to 5? (1 being very low, 5 being very high)","To what extent do you believe your social relationships at university contribute to your overall well-being","How well do you think you balance your participation in university social life with academic responsibilities?","What changes or improvements, if any, would you suggest to enhance the positive impact of university social life on students' well-being? Please select all that apply"
"2024/03/02 6:53:14 PM GMT+2","3","","Greatly boosts my well-being","Moderately well","More diverse social events and activities;Increased support for student clubs and organizations;Better promotion of existing social opportunities;Improved campus facilities for social interactions;Enhanced mental health and well-being resources"
"2024/03/02 7:23:18 PM GMT+2","3","3","Somewhat boosts my well-being","Not very well","Better promotion of existing social opportunities"
"2024/03/02 7:28:13 PM GMT+2","4","2","Greatly boosts my well-being","Neutral","More diverse social events and activities;Increased support for student clubs and organizations;Improved campus facilities for social interactions;Enhanced mental health and well-being resources"
"2024/03/02 7:33:03 PM GMT+2","3","4","Greatly boosts my well-being","Not very well","Improved campus facilities for social interactions;"
"2024/03/02 8:18:26 PM GMT+2","5","5","Greatly boosts my well-being","Very well","More diverse social events and activities"
"2024/03/02 8:26:16 PM GMT+2","4","3","Somewhat boosts my well-being","Moderately well","More diverse social events and activities;Increased support for student clubs and organizations;Better promotion of existing social opportunities"
"2024/03/03 12:04:31 AM GMT+2","3","3","Greatly boosts my well-being","Neutral","More diverse social events and activities;Increased support for student clubs and organizations"
"2024/03/03 11:30:41 AM GMT+2","3","4","Somewhat boosts my well-being","Neutral","More diverse social events and activities;Increased support for student clubs and organizations;Better promotion of existing social opportunities;Improved campus facilities for social interactions;Enhanced mental health and well-being resources"
"2024/03/03 12:28:52 PM GMT+2","4","4","Greatly boosts my well-being","Very well","More diverse social events and activities;Improved campus facilities for social interactions"
"2024/03/04 9:09:01 AM GMT+2","1","2","Significantly hinders my well-being","Neutral","More diverse social events and activities;Increased support for student clubs and organizations"
"2024/03/04 10:17:21 AM GMT+2","1","4","Somewhat boosts my well-being","Neutral","Improved campus facilities for social interactions;Enhanced mental health and well-being resources"
"2024/03/05 4:58:28 PM GMT+2","3","3","Greatly boosts my well-being","Neutral","Increased support for student clubs and organizations"
"2024/03/07 4:40:40 PM GMT+2","1","2","No significant impact","Moderately well","Improved campus facilities for social interactions"
"2024/03/08 1:42:35 AM GMT+2","2","3","Greatly boosts my well-being","Not very well","More diverse social events and activities;Improved campus facilities for social interactions"
